Property_ID,Location,Type,Price,Bedrooms,Bathrooms,Size_sqft,Year_Built,Sold,Date_Added,Agent_ID,Parking_Spaces,HOA_Fees,Lot_Size_acres,Energy_Rating,Days_on_Market
P-1,Port Ianstad,House,389193,5,2,4624,1929,0,2023-12-02,cf99365a,3,78.41,1.21,5,633
P-2,Vazqueztown,House,629837,1,2,4763,2011,0,2022-01-14,d4a9c4ef,2,283.72,2.12,2,406
P-3,West Lorimouth,Apartment,633174,2,4,4697,1981,1,2022-11-23,f51cab8e,2,485.09,3.08,5,618
P-4,Port Julia,House,102971,3,3,4840,1934,1,2023-08-23,f0dbb1e2,3,119.98,3.39,4,503
P-5,Carpentermouth,House,740738,1,1,4557,1944,0,2022-04-19,9860712f,2,234.66,1.17,3,382
P-6,Martineztown,House,587751,1,2,4110,2008,0,2022-11-17,78a17074,4,430.33,0.99,1,426
P-7,Torresstad,House,844613,3,3,4447,2023,0,2024-09-30,a6524bcc,1,307.49,2.16,3,285
P-8,Christopherville,House,762106,4,3,4781,2011,0,2023-10-06,b8016f90,0,166.65,4.38,2,522
P-9,Wandastad,Apartment,946072,3,3,4674,2015,0,2022-11-03,865187d3,5,55.82,4.03,4,77
P-10,West Heather,House,955458,5,2,2963,1901,1,2022-04-24,43ceabef,1,402.28,3.13,2,465
P-11,Karenville,Apartment,574539,3,1,2704,2005,1,2022-10-11,6d82cd65,3,378.83,3.76,1,462
P-12,East Brianmouth,House,638401,2,1,803,1976,0,2023-06-08,da1f94a3,0,227.91,4.57,4,154
P-13,Andersonland,House,700378,4,4,4645,2023,0,2024-01-14,42922bba,2,6.84,4.09,1,288
P-14,Michaelbury,Apartment,775259,4,2,2090,1901,0,2024-09-27,b744003a,2,372.42,4.44,1,716
P-15,West Dawn,Condo,539949,1,1,3174,2000,0,2023-01-21,9904ba46,3,292.23,1.15,3,193
P-16,Jessicaland,Apartment,551964,3,4,576,2014,0,2023-02-05,2f9443f3,5,348.78,4.94,2,706
P-17,Lukemouth,Condo,506378,4,1,3243,1975,0,2024-09-29,a7f63909,2,185.36,2.54,1,402
P-18,Kellerhaven,Condo,700096,1,2,556,1934,0,2023-02-15,5ae30191,0,38.33,2.75,5,620
P-19,Michaelside,House,852281,3,2,3047,1933,1,2024-05-07,6f549e0f,3,454.71,4.51,4,106
P-20,Vargasville,Condo,390966,5,2,3144,1994,1,2024-02-23,9dd44889,0,483.05,2.58,5,48
P-21,Lindaberg,House,341825,2,1,1794,1909,1,2024-03-26,7a91fa81,1,177.17,1.23,5,144
P-22,Tracymouth,Apartment,254129,2,1,2091,1939,1,2022-09-09,28fec32f,5,496.31,1.53,2,317
P-23,Adamstown,House,773677,4,1,1797,1910,1,2024-06-24,5617955e,4,167.65,1.69,5,28
P-24,South Dominique,House,751333,4,4,3860,1988,1,2024-10-27,e91f3135,4,54.42,3.11,4,299
P-25,Lake Devinborough,Condo,178723,5,2,4811,2013,1,2023-05-10,4b591752,3,210.34,0.89,3,134
P-26,Cobbfurt,House,210186,4,2,3494,1921,1,2021-12-06,ea157380,1,379.32,1.35,4,299
P-27,Miketown,Condo,842102,1,2,4332,1934,0,2022-03-03,3d78a0fd,2,354.24,0.28,5,191
P-28,Collinsfurt,House,540280,3,1,1723,1908,1,2022-07-24,eae3ed34,1,127.35,0.57,3,302
P-29,Dunnberg,Condo,983871,4,2,2626,1949,1,2022-11-25,2ba07f07,2,103.7,2.78,5,458
P-30,Martinezberg,Condo,995804,3,2,1527,1943,0,2023-01-16,5403692c,1,93.86,1.74,5,121
P-31,Charlesland,Apartment,144576,5,2,4603,1905,1,2022-02-28,dd035f2a,5,253.84,0.42,3,723
P-32,West Tiffany,Condo,596863,5,4,4648,2020,1,2024-09-14,59e99e81,3,315.99,3.51,3,239
P-33,East Aaron,Apartment,575412,4,4,3963,1923,0,2022-08-31,825f0b71,3,105.91,0.9,3,255
P-34,Cunninghamborough,House,856332,5,3,1317,1999,0,2022-04-23,4555fef3,2,395.9,2.03,4,712
P-35,Jonchester,Apartment,956096,3,1,2935,1925,1,2024-10-31,c6b6a65b,3,460.9,3.11,1,131
P-36,Lake Jaredside,Condo,680855,5,3,2206,1955,0,2024-01-13,04410c6e,1,140.68,3.8,4,556
P-37,Andrewfurt,Apartment,251763,3,4,891,1984,1,2024-02-02,ae4d54d0,1,325.36,4.98,1,674
P-38,Juliehaven,Apartment,393002,1,1,3331,1964,1,2023-07-21,7eb9a684,5,335.25,3.89,4,526
P-39,Port Adam,Apartment,905982,2,4,3948,1919,1,2023-08-15,54c2f93d,2,148.1,4.54,1,311
P-40,North Taylormouth,House,907425,1,3,3468,2005,1,2022-12-25,267c4e42,1,71.3,3.17,3,72
P-41,Milesmouth,Condo,655337,2,2,559,1900,0,2022-01-11,aaf2c6c1,1,3.65,1.59,5,486
P-42,Lauraport,Apartment,248631,5,1,2096,1962,1,2022-08-11,7d96b8d9,3,63.8,4.77,4,287
P-43,Paulton,Apartment,526864,4,4,4858,2021,1,2023-02-27,7aaf2a76,0,273.94,2.48,2,612
P-44,New Sherri,Apartment,546471,5,3,1658,1954,0,2023-04-15,2be26bed,1,470.32,2.36,1,600
P-45,Brittneyville,House,766795,1,3,1512,1993,1,2023-11-23,0db6f0d5,4,283.31,0.76,5,577
P-46,North Kaylabury,House,1052825,5,3,567,1969,0,2024-09-22,8b119c82,3,291.3,1.26,5,362
P-47,Lisatown,Condo,986670,3,3,4240,1976,0,2022-03-29,fb0819a4,1,472.61,0.34,4,302
P-48,Port Christopherside,Condo,587953,2,2,1182,1979,1,2024-11-15,9b625b74,4,217.05,4.52,4,144
P-49,Adkinschester,Apartment,364178,5,1,1032,2014,0,2024-02-25,9cfb01f5,5,327.06,1.78,5,327
P-50,South Elizabethside,Apartment,603280,3,4,2140,1963,1,2023-11-29,e5792ec1,0,412.25,3.1,3,208
P-51,Ramirezhaven,Condo,936335,2,2,782,1991,0,2023-08-18,9591a378,2,421.65,4.3,4,492
P-52,North Bonnie,House,1010486,3,3,1721,2019,1,2023-01-27,bdaeff13,5,51.42,4.64,3,327
P-53,East Heidibury,Condo,960092,5,4,4276,1958,0,2024-05-29,c7426434,0,44.61,2.96,5,299
P-54,Dixonside,House,187859,4,1,3908,1922,0,2022-09-02,26713979,4,218.8,2.52,4,392
P-55,West Jason,Condo,119998,3,2,4706,1953,1,2024-11-18,ee4b2b66,3,485.72,3.15,4,141
P-56,Johnathanchester,Condo,839900,4,2,684,1939,0,2024-07-06,39c8071b,0,491.19,3.14,3,542
P-57,South Marilyn,Apartment,386867,1,3,4752,1955,1,2023-01-16,32200aa7,2,492.52,2.89,1,576
P-58,Bellfurt,House,668362,3,4,2383,1990,0,2024-06-11,39810201,2,28.34,4.4,2,493
P-59,West Austinland,House,280880,4,4,4660,2006,1,2023-09-08,4485e2bb,4,484.48,0.29,3,75
P-60,Jonesfort,Condo,107512,5,3,4172,1931,1,2022-05-18,68aab826,0,138.41,3.43,5,550
P-61,North Jodiport,Apartment,625640,2,4,1108,2019,0,2023-04-16,7422ed36,3,123.21,0.33,1,7
P-62,North Connorville,Condo,323245,5,3,3523,1936,1,2024-10-04,c1857d57,2,474.83,3.49,1,518
P-63,Johnsonfurt,Apartment,768634,3,1,2837,1921,0,2023-06-13,8b0558dd,5,205.39,2.04,5,37
P-64,Edwardsland,Condo,949231,5,4,1636,1901,1,2023-07-17,fda5f8d6,5,413.31,1.62,4,223
P-65,Lopezfort,House,664676,5,3,3493,1965,0,2024-08-28,e139d14f,3,468.31,3.21,1,725
P-66,East Nicole,House,126818,3,1,2159,2016,0,2022-04-25,18567d09,2,261.66,0.66,5,622
P-67,Lake Brucetown,Apartment,577093,3,3,3522,1938,0,2022-07-29,197a8598,0,99.13,1.33,5,377
P-68,Stevenberg,Condo,1037662,5,3,1171,1967,1,2023-03-31,734151cd,1,221.48,3.2,1,543
P-69,Crystalside,House,433329,3,4,1383,2020,0,2023-12-19,9e9d4584,4,80.23,4.62,1,331
P-70,Trujillostad,House,1037957,4,3,1472,1999,1,2023-07-11,7f87dc0d,1,175.7,4.16,5,269
P-71,Mercedesland,House,225300,3,4,4311,1955,1,2022-05-26,833eec16,0,273.37,0.76,2,186
P-72,New Becky,Apartment,635475,4,4,4689,2005,1,2022-07-29,f416cd1b,5,392.6,2.94,3,667
P-73,Montoyaview,House,643730,4,2,1926,2018,1,2023-12-30,467d8e7f,1,480.84,1.01,4,445
P-74,South Jeffrey,Apartment,1026174,2,1,4680,1925,0,2023-04-08,6b24e959,0,35.93,4.54,2,298
P-75,Whitehaven,Apartment,673227,1,1,3585,1952,1,2024-10-24,b6a96316,2,373.58,4.98,5,119
P-76,Lake Megan,Apartment,1014364,3,1,3295,1947,0,2024-05-05,53043093,3,408.21,3.9,1,130
P-77,West Joshuamouth,Condo,622336,2,2,2445,1997,0,2024-10-01,5a240422,3,179.3,1.95,3,661
P-78,Lake Ana,House,901889,4,1,3183,1903,0,2023-05-15,9135607c,5,74.76,2.66,5,425
P-79,Harveyview,Condo,181967,4,3,1346,2007,0,2024-11-06,cd650ba9,1,141.44,1.61,5,266
P-80,South Juliefurt,Condo,261671,4,3,1774,1901,0,2022-09-14,4d701985,4,181.17,4.5,4,412
P-81,Williamsonfurt,Apartment,279404,5,3,2279,1946,1,2022-09-13,5027613b,1,139.06,3.43,2,668
P-82,Port Gina,Apartment,316414,1,4,2381,1954,1,2022-10-11,8c35af7d,0,234.94,3.93,4,308
P-83,North Juanstad,House,431910,3,2,4404,2006,0,2022-02-24,9635122,0,251.21,0.29,5,249
P-84,Rodriguezton,House,300662,2,3,2055,1921,0,2023-06-30,a36ca14f,0,423.64,4.92,3,558
P-85,Quinnberg,Apartment,318011,5,2,3049,1907,0,2024-05-26,d74b4651,1,259.28,4.24,4,243
P-86,Lake Leroybury,Apartment,361064,2,3,3506,2006,1,2022-10-13,ca34052f,4,447.77,2.96,3,180
P-87,South Michaelstad,House,761763,1,2,2677,2017,0,2024-05-05,67b622b4,3,188.15,1.88,4,720
P-88,New Charlotte,Condo,698723,5,2,1859,1954,1,2024-02-03,c4a3c418,1,151.91,4.61,4,215
P-89,Lake Jonathanborough,House,965649,2,3,914,1975,1,2023-11-29,67fe0e4c,5,40.27,3.64,2,388
P-90,Lake Ryan,House,269802,4,1,4243,1968,0,2023-12-26,d54a4a94,4,184.74,0.93,3,21
P-91,Andersonborough,Condo,449186,2,4,3186,1987,0,2023-03-06,09c04c6d,1,313.52,2.57,3,333
P-92,Port Christopher,Apartment,119170,3,4,3659,1907,0,2022-04-24,4374f8f2,3,49.56,3.97,2,699
P-93,Lake Richardchester,Apartment,860435,4,1,4127,1948,1,2022-02-14,204a5107,3,164.79,2.02,4,60
P-94,Brooksport,Apartment,935662,5,1,850,2013,1,2023-03-11,03e2a838,2,346.3,4.32,2,32
P-95,West Michaelborough,Apartment,1026724,5,4,983,2000,0,2022-02-04,7b8fc330,1,464.01,1.35,5,325
P-96,Chasechester,Apartment,1012298,3,1,768,1964,0,2022-09-09,06e740a5,0,20.86,4.76,5,357
P-97,Donaldmouth,Apartment,680799,4,4,869,1995,1,2022-11-08,514b310a,0,436.62,4.68,1,178
P-98,Alyssatown,Apartment,665871,2,3,2283,1993,0,2023-02-21,6fecfc81,2,147.14,0.45,1,13
P-99,Cortezview,House,551666,3,4,928,1942,1,2022-05-13,55983b3a,2,371.78,2.76,1,466
P-100,West Ashley,Condo,358911,1,2,4844,1928,1,2021-12-06,028fa043,5,403.83,1.08,2,305
P-101,Russellfort,Apartment,285600,4,1,3317,1948,1,2023-08-02,47b9e5f9,0,234.5,0.52,4,672
P-102,South Keith,House,343179,3,1,1638,1993,0,2022-01-23,802a4fb7,5,132.31,4.55,3,247
P-103,West Mark,Apartment,594109,2,2,3107,2004,1,2023-05-09,3d556946,1,413.47,0.23,5,422
